Code,Country,region,subregion,int_region
AFG,Afghanistan,Asia,Southern Asia,
ALA,Åland Islands,Europe,Northern Europe,
ALB,Albania,Europe,Southern Europe,
DZA,Algeria,Africa,Northern Africa,
ASM,American Samoa,Oceania,Polynesia,
AND,Andorra,Europe,Southern Europe,
AGO,Angola,Africa,Sub-Saharan Africa,Middle Africa
AIA,Anguilla,Americas,Latin America and the Caribbean,Caribbean
ATA,Antarctica,,,
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean
ARG,Argentina,Americas,Latin America and the Caribbean,South America
ARM,Armenia,Asia,Western Asia,
ABW,Aruba,Americas,Latin America and the Caribbean,Caribbean
AUS,Australia,Oceania,Australia and New Zealand,
AUT,Austria,Europe,Western Europe,
AZE,Azerbaijan,Asia,Western Asia,
BHS,Bahamas,Americas,Latin America and the Caribbean,Caribbean
BHR,Bahrain,Asia,Western Asia,
BGD,Bangladesh,Asia,Southern Asia,
BRB,Barbados,Americas,Latin America and the Caribbean,Caribbean
BLR,Belarus,Europe,Eastern Europe,
BEL,Belgium,Europe,Western Europe,
BLZ,Belize,Americas,Latin America and the Caribbean,Central America
BEN,Benin,Africa,Sub-Saharan Africa,Western Africa
BMU,Bermuda,Americas,Northern America,
BTN,Bhutan,Asia,Southern Asia,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,South America
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,Caribbean
BIH,Bosnia and Herzegovina,Europe,Southern Europe,
BWA,Botswana,Africa,Sub-Saharan Africa,Southern Africa
BVT,Bouvet Island,Americas,Latin America and the Caribbean,South America
BRA,Brazil,Americas,Latin America and the Caribbean,South America
IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa,Eastern Africa
BRN,Brunei Darussalam,Asia,South-eastern Asia,
BGR,Bulgaria,Europe,Eastern Europe,
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa
BDI,Burundi,Africa,Sub-Saharan Africa,Eastern Africa
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Western Africa
KHM,Cambodia,Asia,South-eastern Asia,
CMR,Cameroon,Africa,Sub-Saharan Africa,Middle Africa
CAN,Canada,Americas,Northern America,
CYM,Cayman Islands,Americas,Latin America and the Caribbean,Caribbean
CAF,Central African Republic,Africa,Sub-Saharan Africa,Middle Africa
TCD,Chad,Africa,Sub-Saharan Africa,Middle Africa
CHL,Chile,Americas,Latin America and the Caribbean,South America
CHN,China,Asia,Eastern Asia,
CXR,Christmas Island,Oceania,Australia and New Zealand,
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
COL,Colombia,Americas,Latin America and the Caribbean,South America
COM,Comoros,Africa,Sub-Saharan Africa,Eastern Africa
COG,Congo,Africa,Sub-Saharan Africa,Middle Africa
COD,"Congo, Democratic Republic of the",Africa,Sub-Saharan Africa,Middle Africa
COK,Cook Islands,Oceania,Polynesia,
CRI,Costa Rica,Americas,Latin America and the Caribbean,Central America
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Western Africa
HRV,Croatia,Europe,Southern Europe,
CUB,Cuba,Americas,Latin America and the Caribbean,Caribbean
CUW,Curaçao,Americas,Latin America and the Caribbean,Caribbean
CYP,Cyprus,Asia,Western Asia,
CZE,Czechia,Europe,Eastern Europe,
DNK,Denmark,Europe,Northern Europe,
DJI,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa
DMA,Dominica,Americas,Latin America and the Caribbean,Caribbean
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Caribbean
ECU,Ecuador,Americas,Latin America and the Caribbean,South America
EGY,Egypt,Africa,Northern Africa,
SLV,El Salvador,Americas,Latin America and the Caribbean,Central America
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa
ERI,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa
EST,Estonia,Europe,Northern Europe,
SWZ,Eswatini,Africa,Sub-Saharan Africa,Southern Africa
ETH,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,South America
FRO,Faroe Islands,Europe,Northern Europe,
FJI,Fiji,Oceania,Melanesia,
FIN,Finland,Europe,Northern Europe,
FRA,France,Europe,Western Europe,
GUF,French Guiana,Americas,Latin America and the Caribbean,South America
PYF,French Polynesia,Oceania,Polynesia,
ATF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
GAB,Gabon,Africa,Sub-Saharan Africa,Middle Africa
GMB,Gambia,Africa,Sub-Saharan Africa,Western Africa
GEO,Georgia,Asia,Western Asia,
DEU,Germany,Europe,Western Europe,
GHA,Ghana,Africa,Sub-Saharan Africa,Western Africa
GIB,Gibraltar,Europe,Southern Europe,
GRC,Greece,Europe,Southern Europe,
GRL,Greenland,Americas,Northern America,
GRD,Grenada,Americas,Latin America and the Caribbean,Caribbean
